Sept. 4, 2025   10:12:00
Tafel Plot
File: c:\users\19156\desktop\10_dark.txt
Data Source:  Experiment
Instrument Model:  CHI760F
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.5
Segment = 1
Hold Time at Ef (sec) = 0
Scan Rate (V/s) = 0.01
Quiet Time (sec) = 2

Potential/V, Current/A, log(i/A)
-0.173, -1.740e-7, -6.759e+0
-0.174, -1.750e-7, -6.757e+0
-0.175, -1.720e-7, -6.764e+0
-0.176, -1.700e-7, -6.770e+0
-0.177, -1.660e-7, -6.780e+0
-0.178, -1.720e-7, -6.764e+0
-0.179, -1.750e-7, -6.757e+0
-0.180, -1.690e-7, -6.772e+0
-0.181, -1.710e-7, -6.767e+0
-0.182, -1.710e-7, -6.767e+0
-0.183, -1.780e-7, -6.750e+0
-0.184, -1.790e-7, -6.747e+0
-0.185, -1.850e-7, -6.733e+0
-0.186, -1.790e-7, -6.747e+0
-0.187, -1.800e-7, -6.745e+0
-0.188, -1.780e-7, -6.750e+0
-0.189, -1.810e-7, -6.742e+0
-0.190, -1.780e-7, -6.750e+0
-0.191, -1.740e-7, -6.759e+0
-0.192, -1.860e-7, -6.730e+0
-0.193, -1.920e-7, -6.717e+0
-0.194, -1.890e-7, -6.724e+0
-0.195, -1.870e-7, -6.728e+0
-0.196, -1.880e-7, -6.726e+0
-0.197, -1.880e-7, -6.726e+0
-0.198, -1.900e-7, -6.721e+0
-0.199, -1.890e-7, -6.724e+0
-0.200, -1.850e-7, -6.733e+0
-0.201, -1.880e-7, -6.726e+0
-0.202, -1.930e-7, -6.714e+0
-0.203, -1.920e-7, -6.717e+0
-0.204, -1.950e-7, -6.710e+0
-0.205, -1.910e-7, -6.719e+0
-0.206, -1.920e-7, -6.717e+0
-0.207, -1.940e-7, -6.712e+0
-0.208, -1.950e-7, -6.710e+0
-0.209, -2.010e-7, -6.697e+0
-0.210, -2.000e-7, -6.699e+0
-0.211, -1.970e-7, -6.706e+0
-0.212, -1.980e-7, -6.703e+0
-0.213, -1.950e-7, -6.710e+0
-0.214, -2.000e-7, -6.699e+0
-0.215, -2.040e-7, -6.690e+0
-0.216, -1.990e-7, -6.701e+0
-0.217, -1.960e-7, -6.708e+0
-0.218, -2.030e-7, -6.693e+0
-0.219, -1.970e-7, -6.706e+0
-0.220, -2.000e-7, -6.699e+0
-0.221, -2.020e-7, -6.695e+0
-0.222, -1.980e-7, -6.703e+0
-0.223, -2.040e-7, -6.690e+0
-0.224, -1.990e-7, -6.701e+0
-0.225, -1.980e-7, -6.703e+0
-0.226, -1.970e-7, -6.706e+0
-0.227, -1.950e-7, -6.710e+0
-0.228, -1.950e-7, -6.710e+0
-0.229, -1.960e-7, -6.708e+0
-0.230, -1.960e-7, -6.708e+0
-0.231, -1.990e-7, -6.701e+0
-0.232, -2.020e-7, -6.695e+0
-0.233, -2.040e-7, -6.690e+0
-0.234, -2.040e-7, -6.690e+0
-0.235, -2.060e-7, -6.686e+0
-0.236, -2.050e-7, -6.688e+0
-0.237, -2.050e-7, -6.688e+0
-0.238, -2.070e-7, -6.684e+0
-0.239, -2.090e-7, -6.680e+0
-0.240, -2.080e-7, -6.682e+0
-0.241, -2.090e-7, -6.680e+0
-0.242, -2.080e-7, -6.682e+0
-0.243, -2.100e-7, -6.678e+0
-0.244, -2.080e-7, -6.682e+0
-0.245, -2.140e-7, -6.670e+0
-0.246, -2.150e-7, -6.668e+0
-0.247, -2.150e-7, -6.668e+0
-0.248, -2.130e-7, -6.672e+0
-0.249, -2.220e-7, -6.654e+0
-0.250, -2.270e-7, -6.644e+0
-0.251, -2.110e-7, -6.676e+0
-0.252, -2.150e-7, -6.668e+0
-0.253, -2.210e-7, -6.656e+0
-0.254, -2.120e-7, -6.674e+0
-0.255, -2.180e-7, -6.662e+0
-0.256, -2.200e-7, -6.658e+0
-0.257, -2.240e-7, -6.650e+0
-0.258, -2.240e-7, -6.650e+0
-0.259, -2.250e-7, -6.648e+0
-0.260, -2.280e-7, -6.642e+0
-0.261, -2.370e-7, -6.625e+0
-0.262, -2.290e-7, -6.640e+0
-0.263, -2.260e-7, -6.646e+0
-0.264, -2.210e-7, -6.656e+0
-0.265, -2.160e-7, -6.666e+0
-0.266, -2.200e-7, -6.658e+0
-0.267, -2.210e-7, -6.656e+0
-0.268, -2.230e-7, -6.652e+0
-0.269, -2.290e-7, -6.640e+0
-0.270, -2.250e-7, -6.648e+0
-0.271, -2.280e-7, -6.642e+0
-0.272, -2.310e-7, -6.636e+0
-0.273, -2.340e-7, -6.631e+0
-0.274, -2.320e-7, -6.635e+0
-0.275, -2.400e-7, -6.620e+0
-0.276, -2.390e-7, -6.622e+0
-0.277, -2.460e-7, -6.609e+0
-0.278, -2.480e-7, -6.606e+0
-0.279, -2.460e-7, -6.609e+0
-0.280, -2.520e-7, -6.599e+0
-0.281, -2.500e-7, -6.602e+0
-0.282, -2.420e-7, -6.616e+0
-0.283, -2.380e-7, -6.623e+0
-0.284, -2.370e-7, -6.625e+0
-0.285, -2.390e-7, -6.622e+0
-0.286, -2.370e-7, -6.625e+0
-0.287, -2.450e-7, -6.611e+0
-0.288, -2.440e-7, -6.613e+0
-0.289, -2.440e-7, -6.613e+0
-0.290, -2.460e-7, -6.609e+0
-0.291, -2.440e-7, -6.613e+0
-0.292, -2.470e-7, -6.607e+0
-0.293, -2.500e-7, -6.602e+0
-0.294, -2.460e-7, -6.609e+0
-0.295, -2.490e-7, -6.604e+0
-0.296, -2.460e-7, -6.609e+0
-0.297, -2.480e-7, -6.606e+0
-0.298, -2.470e-7, -6.607e+0
-0.299, -2.460e-7, -6.609e+0
-0.300, -2.500e-7, -6.602e+0
-0.301, -2.570e-7, -6.590e+0
-0.302, -2.600e-7, -6.585e+0
-0.303, -2.510e-7, -6.600e+0
-0.304, -2.480e-7, -6.606e+0
-0.305, -2.550e-7, -6.593e+0
-0.306, -2.490e-7, -6.604e+0
-0.307, -2.480e-7, -6.606e+0
-0.308, -2.500e-7, -6.602e+0
-0.309, -2.580e-7, -6.588e+0
-0.310, -2.570e-7, -6.590e+0
-0.311, -2.570e-7, -6.590e+0
-0.312, -2.590e-7, -6.587e+0
-0.313, -2.630e-7, -6.580e+0
-0.314, -2.660e-7, -6.575e+0
-0.315, -2.560e-7, -6.592e+0
-0.316, -2.640e-7, -6.578e+0
-0.317, -2.660e-7, -6.575e+0
-0.318, -2.610e-7, -6.583e+0
-0.319, -2.720e-7, -6.565e+0
-0.320, -2.690e-7, -6.570e+0
-0.321, -2.710e-7, -6.567e+0
-0.322, -2.780e-7, -6.556e+0
-0.323, -2.720e-7, -6.565e+0
-0.324, -2.720e-7, -6.565e+0
-0.325, -2.780e-7, -6.556e+0
-0.326, -2.740e-7, -6.562e+0
-0.327, -2.760e-7, -6.559e+0
-0.328, -2.710e-7, -6.567e+0
-0.329, -2.710e-7, -6.567e+0
-0.330, -2.760e-7, -6.559e+0
-0.331, -2.740e-7, -6.562e+0
-0.332, -2.770e-7, -6.558e+0
-0.333, -2.790e-7, -6.554e+0
-0.334, -2.770e-7, -6.558e+0
-0.335, -2.760e-7, -6.559e+0
-0.336, -2.810e-7, -6.551e+0
-0.337, -2.800e-7, -6.553e+0
-0.338, -2.760e-7, -6.559e+0
-0.339, -2.760e-7, -6.559e+0
-0.340, -2.810e-7, -6.551e+0
-0.341, -2.830e-7, -6.548e+0
-0.342, -2.790e-7, -6.554e+0
-0.343, -2.920e-7, -6.535e+0
-0.344, -2.890e-7, -6.539e+0
-0.345, -2.850e-7, -6.545e+0
-0.346, -2.890e-7, -6.539e+0
-0.347, -2.860e-7, -6.544e+0
-0.348, -2.890e-7, -6.539e+0
-0.349, -2.940e-7, -6.532e+0
-0.350, -2.960e-7, -6.529e+0
-0.351, -3.060e-7, -6.514e+0
-0.352, -3.110e-7, -6.507e+0
-0.353, -3.060e-7, -6.514e+0
-0.354, -3.060e-7, -6.514e+0
-0.355, -3.010e-7, -6.521e+0
-0.356, -3.090e-7, -6.510e+0
-0.357, -3.070e-7, -6.513e+0
-0.358, -3.080e-7, -6.511e+0
-0.359, -3.060e-7, -6.514e+0
-0.360, -3.030e-7, -6.519e+0
-0.361, -3.090e-7, -6.510e+0
-0.362, -3.110e-7, -6.507e+0
-0.363, -3.100e-7, -6.509e+0
-0.364, -3.060e-7, -6.514e+0
-0.365, -3.060e-7, -6.514e+0
-0.366, -3.070e-7, -6.513e+0
-0.367, -3.180e-7, -6.498e+0
-0.368, -3.160e-7, -6.500e+0
-0.369, -3.160e-7, -6.500e+0
-0.370, -3.170e-7, -6.499e+0
-0.371, -3.170e-7, -6.499e+0
-0.372, -3.110e-7, -6.507e+0
-0.373, -3.150e-7, -6.502e+0
-0.374, -3.140e-7, -6.503e+0
-0.375, -3.120e-7, -6.506e+0
-0.376, -3.100e-7, -6.509e+0
-0.377, -3.150e-7, -6.502e+0
-0.378, -3.180e-7, -6.498e+0
-0.379, -3.210e-7, -6.493e+0
-0.380, -3.220e-7, -6.492e+0
-0.381, -3.180e-7, -6.498e+0
-0.382, -3.180e-7, -6.498e+0
-0.383, -3.190e-7, -6.496e+0
-0.384, -3.200e-7, -6.495e+0
-0.385, -3.190e-7, -6.496e+0
-0.386, -3.210e-7, -6.493e+0
-0.387, -3.280e-7, -6.484e+0
-0.388, -3.300e-7, -6.481e+0
-0.389, -3.300e-7, -6.481e+0
-0.390, -3.330e-7, -6.478e+0
-0.391, -3.310e-7, -6.480e+0
-0.392, -3.350e-7, -6.475e+0
-0.393, -3.300e-7, -6.481e+0
-0.394, -3.310e-7, -6.480e+0
-0.395, -3.420e-7, -6.466e+0
-0.396, -3.440e-7, -6.463e+0
-0.397, -3.400e-7, -6.469e+0
-0.398, -3.310e-7, -6.480e+0
-0.399, -3.380e-7, -6.471e+0
-0.400, -3.350e-7, -6.475e+0
-0.401, -3.330e-7, -6.478e+0
-0.402, -3.360e-7, -6.474e+0
-0.403, -3.330e-7, -6.478e+0
-0.404, -3.310e-7, -6.480e+0
-0.405, -3.380e-7, -6.471e+0
-0.406, -3.390e-7, -6.470e+0
-0.407, -3.430e-7, -6.465e+0
-0.408, -3.410e-7, -6.467e+0
-0.409, -3.400e-7, -6.469e+0
-0.410, -3.410e-7, -6.467e+0
-0.411, -3.400e-7, -6.469e+0
-0.412, -3.400e-7, -6.469e+0
-0.413, -3.430e-7, -6.465e+0
-0.414, -3.420e-7, -6.466e+0
-0.415, -3.470e-7, -6.460e+0
-0.416, -3.410e-7, -6.467e+0
-0.417, -3.430e-7, -6.465e+0
-0.418, -3.450e-7, -6.462e+0
-0.419, -3.480e-7, -6.458e+0
-0.420, -3.480e-7, -6.458e+0
-0.421, -3.460e-7, -6.461e+0
-0.422, -3.450e-7, -6.462e+0
-0.423, -3.440e-7, -6.463e+0
-0.424, -3.410e-7, -6.467e+0
-0.425, -3.530e-7, -6.452e+0
-0.426, -3.610e-7, -6.442e+0
-0.427, -3.560e-7, -6.449e+0
-0.428, -3.600e-7, -6.444e+0
-0.429, -3.630e-7, -6.440e+0
-0.430, -3.610e-7, -6.442e+0
-0.431, -3.620e-7, -6.441e+0
-0.432, -3.620e-7, -6.441e+0
-0.433, -3.580e-7, -6.446e+0
-0.434, -3.520e-7, -6.453e+0
-0.435, -3.580e-7, -6.446e+0
-0.436, -3.610e-7, -6.442e+0
-0.437, -3.650e-7, -6.438e+0
-0.438, -3.650e-7, -6.438e+0
-0.439, -3.670e-7, -6.435e+0
-0.440, -3.680e-7, -6.434e+0
-0.441, -3.690e-7, -6.433e+0
-0.442, -3.660e-7, -6.437e+0
-0.443, -3.660e-7, -6.437e+0
-0.444, -3.690e-7, -6.433e+0
-0.445, -3.650e-7, -6.438e+0
-0.446, -3.680e-7, -6.434e+0
-0.447, -3.730e-7, -6.428e+0
-0.448, -3.720e-7, -6.429e+0
-0.449, -3.680e-7, -6.434e+0
-0.450, -3.700e-7, -6.432e+0
-0.451, -3.650e-7, -6.438e+0
-0.452, -3.650e-7, -6.438e+0
-0.453, -3.680e-7, -6.434e+0
-0.454, -3.680e-7, -6.434e+0
-0.455, -3.710e-7, -6.431e+0
-0.456, -3.740e-7, -6.427e+0
-0.457, -3.770e-7, -6.424e+0
-0.458, -3.810e-7, -6.419e+0
-0.459, -3.830e-7, -6.417e+0
-0.460, -3.850e-7, -6.415e+0
-0.461, -3.800e-7, -6.420e+0
-0.462, -3.790e-7, -6.421e+0
-0.463, -3.830e-7, -6.417e+0
-0.464, -3.830e-7, -6.417e+0
-0.465, -3.800e-7, -6.420e+0
-0.466, -3.820e-7, -6.418e+0
-0.467, -3.900e-7, -6.409e+0
-0.468, -3.850e-7, -6.415e+0
-0.469, -3.840e-7, -6.416e+0
-0.470, -3.800e-7, -6.420e+0
-0.471, -3.830e-7, -6.417e+0
-0.472, -3.860e-7, -6.413e+0
-0.473, -3.810e-7, -6.419e+0
-0.474, -3.860e-7, -6.413e+0
-0.475, -3.860e-7, -6.413e+0
-0.476, -3.890e-7, -6.410e+0
-0.477, -3.940e-7, -6.405e+0
-0.478, -3.890e-7, -6.410e+0
-0.479, -3.990e-7, -6.399e+0
-0.480, -3.980e-7, -6.400e+0
-0.481, -3.950e-7, -6.403e+0
-0.482, -3.970e-7, -6.401e+0
-0.483, -3.890e-7, -6.410e+0
-0.484, -3.950e-7, -6.403e+0
-0.485, -3.980e-7, -6.400e+0
-0.486, -3.970e-7, -6.401e+0
-0.487, -4.070e-7, -6.390e+0
-0.488, -4.030e-7, -6.395e+0
-0.489, -4.050e-7, -6.393e+0
-0.490, -4.040e-7, -6.394e+0
-0.491, -4.020e-7, -6.396e+0
-0.492, -4.070e-7, -6.390e+0
-0.493, -4.030e-7, -6.395e+0
-0.494, -4.070e-7, -6.390e+0
-0.495, -4.090e-7, -6.388e+0
-0.496, -4.140e-7, -6.383e+0
-0.497, -4.120e-7, -6.385e+0
-0.498, -4.120e-7, -6.385e+0
-0.499, -4.060e-7, -6.391e+0
-0.500, -4.040e-7, -6.394e+0
